record_id,target_id,latitude,longitude,crs,feature_type,source,source_page,source_date,coordinate_accuracy_m,derivation_method,confidence,field_action,license,created_at,pipeline_version,label,area
T1-1,T1,29.906097,-115.390962,EPSG:4326,pale,EOX Sentinel-2 2020 cloudless viewing composite (CC BY-NC-SA 4.0) + Esri World Imagery tile service (research use),t1_pins,2020,20,RGB visual-screening heuristic pick (unvalidated; needs field + spectral validation),Low,outcrop check + rock chips; look for alteration colour zoning,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P1 WNW pale cluster,T1 PIN MAP
T1-2,T1,29.89779,-115.381181,EPSG:4326,pale,EOX Sentinel-2 2020 cloudless viewing composite (CC BY-NC-SA 4.0) + Esri World Imagery tile service (research use),t1_pins,2020,20,RGB visual-screening heuristic pick (unvalidated; needs field + spectral validation),Low,map extent; chips; gully walls,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P2 S pale patch,T1 PIN MAP
T1-3,T1,29.904306,-115.379883,EPSG:4326,pale,EOX Sentinel-2 2020 cloudless viewing composite (CC BY-NC-SA 4.0) + Esri World Imagery tile service (research use),t1_pins,2020,20,RGB visual-screening heuristic pick (unvalidated; needs field + spectral validation),Low,map extent; chips,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P3 E pale patch,T1 PIN MAP
T1-5,T1,29.905147,-115.384249,EPSG:4326,sed,Esri World Imagery tile service (research use),t1_pins,2024-26,20,desk pick on sub-meter base layer for field check,Medium,sediment pair (2 bags) - N relay,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P4 arroyo N,T1 PIN MAP
T1-6,T1,29.902032,-115.385183,EPSG:4326,sed,Esri World Imagery tile service (research use),t1_pins,2024-26,20,desk pick on sub-meter base layer for field check,Medium,sediment pair - S relay,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P5 arroyo S,T1 PIN MAP
T1-TGT,T1,29.903605,-115.383656,EPSG:4326,target,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",T1 target,2009,20,desk target pick cross-referenced to SGM sheet,Medium,reference point; verify mapped surface/terrain match on site,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,TARGET,T1 PIN MAP
T2-OVERVIEW-01,T2,30.0502,-115.2466,EPSG:4326,pale,EOX Sentinel-2 2020 cloudless viewing composite (CC BY-NC-SA 4.0) + Esri World Imagery tile service (research use),t2_pins,2020,20,RGB visual-screening heuristic pick (unvalidated; needs field + spectral validation),Low,map the mass; identify rock; 100 m chip grid; hunt blue-green,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P1 pale mass CENTER,T2 PIN MAP
T2-OVERVIEW-02,T2,30.049,-115.2428,EPSG:4326,pale,EOX Sentinel-2 2020 cloudless viewing composite (CC BY-NC-SA 4.0) + Esri World Imagery tile service (research use),t2_pins,2020,20,RGB visual-screening heuristic pick (unvalidated; needs field + spectral validation),Low,alteration front - sample both sides of contact,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P2 mass E edge,T2 PIN MAP
T2-OVERVIEW-03,T2,30.0445,-115.236,EPSG:4326,struct,Esri World Imagery tile service (research use),t2_pins,2024-26,20,lineament traced on sub-meter base layer; road vs scarp unresolved,Low,"ROAD or FAULT SCARP? measure, sample gouge",CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P3 band @ arroyo,T2 PIN MAP
T2-OVERVIEW-04,T2,30.0405,-115.2265,EPSG:4326,struct,Esri World Imagery tile service (research use),t2_pins,2024-26,20,lineament traced on sub-meter base layer; requires field validation,Low,trace lineament; look for 2nd scarp,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P4 band 1.5 km E,T2 PIN MAP
